game	Xcade_v0.85	phoenix	\N	\N	\N	\N	\N	Phoenix (Taito)	1980	Taito	\N	\N	\N	
game_rom	Xcade_v0.85	ladybug	lb6.cpu	\N	\N	4096	cf1acca4	c05de7de4bd05d5c2af6aa752e057a9286f3effc	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	ladybug	lb9.vid	\N	\N	4096	77b1da1e	58cb82417396a3d96acfc864f091b1a5988f228d	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	ladybug	lb10.vid	\N	\N	4096	aa82e00b	83a5b745e58844b6dd7d05dfe9dbb5959aaf5c40	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	ladybug	lb8.cpu	\N	\N	4096	8b99910b	0bc812cf872f04eacedb50feed53f1aa8a1f24b9	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	ladybug	lb7.cpu	\N	\N	4096	86a5b448	f8585a6fcf921e3e21f112dd2de474cb53cef290	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	centipede	\N	\N	\N	\N	\N	Centipede (revision 3)	1980	Atari	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.307	\N	\N	2048	5ab0d9de	8ea6e3304202831aabaf31dbd0f970a7b3bfe421	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.308	\N	\N	2048	4c07fd3e	af4fdbf32c23b1864819d620a874e7f205da3cdb	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.309	\N	\N	2048	ff69b424	689fa560d40a384dcbcad7c8095bc12e91875580	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.310	\N	\N	2048	44e40fa4	c557db83876afc8ab52047ab1a3c3bfef34d6351	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.211	\N	\N	2048	880acfb9	6c862352c329776f2f9974a0df9dbe41f9dbc361	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	centipede	centiped.212	\N	\N	2048	b1397029	974c03d29aeca672fffa4dfc00a06be6a851aacb	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	millipede	\N	\N	\N	\N	\N	Millipede	1982	Atari	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.104	\N	\N	4096	40711675	b595d6a0f5d3c611ade1b83a94c3b909d2124dc4	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.103	\N	\N	4096	fb01baf2	9c1d0bbc20bf25dd21761a311fd1ed80aa029241	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.102	\N	\N	4096	62e137e0	9fe40db55ba1d20d4f11704f7f5df9ff75b87f30	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.101	\N	\N	4096	46752c7d	ab06b1fd80271849946f90757b3837b617394929	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.106	\N	\N	2048	f4468045	602fcc7290f9f4eacb841c76665961ebf4307f80	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	millipede	milliped.107	\N	\N	2048	68c3437a	4c7ea33d9501456ee8f5a642da7d6c972f2bb90d	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	dkong	\N	\N	\N	\N	\N	Donkey Kong (US)	1981	Nintendo of America	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.5e	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.5c	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.5b	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.5a	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.3h	\N	\N	2048	45a4ed06	144d24464c1f9f01894eb12f846952290e6e32ef	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.3f	\N	\N	2048	4743fe92	6c82b57637c0212a580591397e6a5a1718f19fd2	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.3n	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.3p	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.7c	\N	\N	2048	59f8054d	793dba9bf5a5fe76328acdfb90815c243d2a65f1	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.7d	\N	\N	2048	672e4714	92e5d379f4838ac1fa44d448ce7d142dae42102f	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.7e	\N	\N	2048	feaa59ee	ecf95db5a20098804fc8bd59232c66e2e0ed3db4	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong	dk.7f	\N	\N	2048	20f2ef7e	3bc482a38bf579033f50082748ee95205b0f673d	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	dkongjr	\N	\N	\N	\N	\N	Donkey Kong Junior (US)	1982	Nintendo of America	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.5b	\N	\N	8192	dea28158	08baf84ae6f9b40a2c743fe1d8c158c74a40e95a	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.5c	\N	\N	8192	6fb5faf6	ce1cfde71a9e2a8b5896a6301d386f72869a1d2e	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.5e	\N	\N	8192	d042b6a8	57ac237d273496b44220b4437118115ef11dbd9f	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.3h	\N	\N	4096	715da5f8	f708c3fd374da65cbd9fe2e191152f5d865414a0	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.3n	\N	\N	4096	8d51aca9	64887564b079d98e98aafa53835e398f34fe4e3f	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.3p	\N	\N	4096	4ef64ba5	41a7a4005087951f57f62c9751d62a8c495e6bb3	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.7c	\N	\N	2048	dc7f4164	07a6242e95b5c3b8dfdcd4b4950f463dba16dd77	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.7d	\N	\N	2048	0ce7dcf6	0654b77526c49f0dfa077ac4f1f69cf5cb2e2f64	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.7e	\N	\N	2048	24d1ff17	696854bf3dc5447d33b4815db357e6ce3834d867	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkongjr	dkj.7f	\N	\N	2048	0f8c083f	0b688ae9da296b2447fffa5e135fd6a56ec3e790	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	dkong3	\N	\N	\N	\N	\N	Donkey Kong 3 (US)	1983	Nintendo of America	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3c.7b	\N	\N	8192	38d5f38e	5a6bb0e5070211515e3d56bd7d4c2d1655ac1621	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3c.7c	\N	\N	8192	c9134379	ecddb3694b93cb3dc98c3b1aeeee928e27529aba	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3c.7d	\N	\N	8192	d22e2921	59a4a1a36aaca19ee0a7255d832df9d042ba34fb	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3c.7e	\N	\N	8192	615f14b7	145674073e95d97c9131b6f2b03303eadb57ca78	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.3n	\N	\N	4096	415a99c7	e0855b03bb1dc0d8ae46da9fe33ca30ecf6a2e96	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.3p	\N	\N	4096	25744ea0	4866e43e80b010ccf2c8cc94c232786521f9e26e	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.7c	\N	\N	4096	8ffa1737	fa5896124227d412fbdf83f129ddffa32cf2053b	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.7d	\N	\N	4096	9ac84686	a089376b9c23094490703152ad98ed27f519402d	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.7e	\N	\N	4096	0c0af3fb	03e0c3f51bc3c20f95cb02f76f2d80188d5dbe36	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	dkong3	dk3v.7f	\N	\N	4096	55c58662	7f3d5a1b386cc37d466e42392ffefc928666a8dc	\N	\N	\N	\N	\N	\N	
game	Xcade_v0.85	mario	\N	\N	\N	\N	\N	Mario Bros. (US)	1983	Nintendo of America	\N	\N	\N	
game_rom	Xcade_v0.85	mario	mario.7f	\N	\N	8192	c0c6e014	36a04f9ca1c2a583477cb8a6f2ef94e044e08296	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	mario	mario.7e	\N	\N	8192	116b3856	e372f846d0e5a2b9b47ebd0330293fcc8a12363f	\N	\N	\N	\N	\N	\N	
game_rom	Xcade_v0.85	mario	mario.7d	\N	\N	8192	dcceb6c1	b19804e69ce2c98cf276c6055c3a250316b96b45	\N	\N	\N	\N	\N	\N	
