game_rom	RAINE_v0.51.0	19xxj	19x.14m	19x.14m	\N	2097152	e916967c	3f937022166149a80585f91388de521055ca88ca	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.16m	19x.16m	\N	2097152	6e75f3db	4e1c8466eaa612102d0807d2e8bf1004e97476ea	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.18m	19x.18m	\N	2097152	2213e798	b1a9d5547f3f6c3ab59e8b761d224793c6ca33cb	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.20m	19x.20m	\N	2097152	ab9d5b96	52b755da401fde90c13181b02ab33e5e4b2aa1f7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.11m	19x.11m	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.12m	19x.12m	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	19xxj	19xxj	
game	RAINE_v0.51.0	19xxd	\N	\N	19xx	19xx	\N	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)	1996	Bootleg	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19xud.03	\N	\N	524288	f81b60e5	6f246ed7779a3a75e7ad7fa8c913c901ea423828	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19xud.04	\N	\N	524288	cc44638c	a11df36b98bb59cf64c47bab29721e80d64054ff	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19xud.05	\N	\N	524288	33a168de	11e1977cda6269f1a7d6a0f53b73e3094649bd2f	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19xud.06	\N	\N	524288	e0111282	233bf939f79e5dd861a01d6d76ae57861d0438fd	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.07	19x.07	\N	524288	61c0296c	9e225beccffd14bb53a32f8c0f2aef7f331dae30	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.01	19x.01	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.13m	19x.13m	\N	524288	427aeb18	901029b5423e4bda85f592735036c06b7d426680	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.15m	19x.15m	\N	524288	63bdbf54	9beb64ef0a8c92490848599d5d979bf42532609d	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.17m	19x.17m	\N	524288	2dfe18b5	8a44364d9af6b9e1664b44b9235dc172182c9eb8	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.19m	19x.19m	\N	524288	cbef9579	172413f220b242411218c7865e04014ec6417537	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.14m	19x.14m	\N	2097152	e916967c	3f937022166149a80585f91388de521055ca88ca	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxd	19x.16m	19x.16m	\N	2097152	6e75f3db	4e1c8466eaa612102d0807d2e8bf1004e97476ea	\N	\N	\N	\N	\N	\N	
