game	TempestGL	tempest	\N	\N	\N	\N	\N	Tempest (rev 3)	1980	Atari	\N	\N	\N	
game_rom	TempestGL	tempestm	136002.114	136002.114	\N	2048	11077375	ed8ff0ca969da6672a7683b93d4fcf2935a0d903	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	136002.115	136002.115	\N	2048	f3e2827a	bd04fcfbbba995e08c3144c1474fcddaaeb1c700	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	136002.116	\N	\N	2048	7356896c	a013ede292189a8f5a907de882ee1a573d784b3c	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	136002.117	\N	\N	2048	55952119	470d914fa52fce3786cb6330889876d3547dca65	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	136002.118	136002.118	\N	2048	beb352ab	f213166d3970e0bd0f29d8dea8d6afa6990cce38	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_r3.bin	\N	\N	2048	c16ec351	a30a3662c740810c0f20e3712679606921b8ca06	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_d1.bin	\N	\N	2048	8a6633fb	b143a5d2019f24666b350b40b0dab2924bb9c7c0	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_n3.bin	\N	\N	2048	29f7e937	686c8b9b8901262e743497cee7f2f7dd5cb3af7e	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_f1.bin	\N	\N	2048	12f62746	37356b5738c27ffe4c38f1b6cf99ae21441d8e8e	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_e1.bin	\N	\N	2048	2eedfdf6	2ed494bd8610bebd07284289ca8b7059fd805300	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	tempestm	menu_r1.bin	\N	\N	2048	1d8f194a	c77f6b83f5c498c0f2d5372089a4604913a4aad5	\N	\N	\N	\N	\N	\N	
