game	QSound_Player_v2	wof	\N	\N	\N	\N	\N	Warriors of Fate [sound only]	1992	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_11-d.rom	\N	\N	524288	3a88e8da	a573ce4bcb28ede7e65fd12238de5a6181ec17fc	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_12-a.rom	\N	\N	524288	207b8d90	ad620019bfe4da4c53b5c633baf9b473d5b02ec6	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_12-b.rom	\N	\N	524288	d2958f9b	76491192026a7858d8941ca0d3b1591f986a9218	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_12-c.rom	\N	\N	524288	8673691e	1b758f5838263ab20930c3d7c0b47e4f9578fbf4	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_12-d.rom	\N	\N	524288	545f3cc3	72e557206a693a909de4e0d060ca1e5be7af5f10	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	ssf2	\N	\N	\N	\N	\N	Super Street Fighter 2: The New Challengers [sound only]	1993	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssfj01.bin	\N	\N	131072	eb247e8c	24296c18d9b1136d69712bf1c9d9d15463041e83	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q1.bin	\N	\N	524288	a6f9da5c	6d19f83a01bd25b838d5c2871f7964529d926c98	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q2.bin	\N	\N	524288	8c66ae26	32a82aee6ed4480e5a990f9af161734c7c0a1403	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q3.bin	\N	\N	524288	695cc2ca	c2675f0233608b76de528d2a6ef19846d1348060	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q4.bin	\N	\N	524288	9d9ebe32	9b26329370041374f1a90b479a172d2bc2801c4d	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q5.bin	\N	\N	524288	4770e7b7	0e764f0befb9227b0b36508d8ca8ec9be31bcb05	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q6.bin	\N	\N	524288	4e79c951	1144781d7dc57ef8a6458d982f5c91548ff59e27	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q7.bin	\N	\N	524288	cdd14313	ebe767a9d4b51dba4282fa0a36a546a88620dd59	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	ssf2	ssf-q8.bin	\N	\N	524288	6f5a088c	6c0b4690479647a99d76335f174be8455b4ff118	\N	\N	\N	\N	\N	\N	
